card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules
KAQ-082,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Mega%20Tyranitar.webp,Mega Tyranitar,10,3,"+3 Energy
Defense: You may reveal this to avoid an Attack.
Ongoing: Opponents can't draw cards during their turn. Defense: You may discard this from play to avoid an Attack.",This can't be played if you control a Mega Evolved Pokemon.,red,Mega Evolution Stack,Pokemon,Defense|Ongoing,Mega,__none__,[KAQ],,
KAQ-083,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Mega%20Venusaur.webp,Mega Venusaur,12,3,"+3 Energy
Draw two cards.
Defense: You may put this in front of your Trainer to avoid an Attack. If you do, play this at the start of your turn.",This can't be played if you control a Mega Evolved Pokemon.,red,Mega Evolution Stack,Pokemon,Defense,Mega,__none__,[KAQ],,
KAQ-084,KAQ-033,"{""KAQ-033""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Meowstic.webp,Meowstic,6,2,"+1 Energy
Attack: Each player discards their hand, then draws a card for each card discarded this way. Gain +1 Energy for every two cards you discarded this way.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
KAQ-085,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Metal%20Coat.webp,Metal Coat,5,1,"If you have played a Pokemon this turn, gain +2 Energy.
Defense: You may discard this to avoid an Attack. If you do, draw two cards.",,,Main Deck,Item,Defense,,__none__,[KAQ],,
KAQ-086,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Muscle%20Band.webp,Muscle Band,4,1,"Ongoing: When you play an Attack card, discard this from play and gain +2 Energy.",,,Main Deck,Item,Ongoing,,__none__,[KAQ],,
KAQ-087,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Nest%20Ball.webp,Nest Ball,2,1,"Choose one of the following:
 • Gain a Pokemon from the Route with cost 4 or less.
 • The first Pokemon you buy this turn costs two less.",,,Main Deck,Item,,,__none__,[KAQ],,
KAQ-088,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Night%20March.webp,Night March,4,1,"+1 Energy and choose an opponent.
Gain +1 Energy for each Night March in your discard pile.
Attack: That opponent discards a card, then an additional card for each Night March in your discard pile.",,,Main Deck,Move,Attack,,__none__,[KAQ],,
KAQ-089,KAQ-090,"{""KAQ-090""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Noibat.webp,Noibat,4,1,"Attack: Reveal the top two cards of each opponent's deck. Discard all cards with cost 1 or more revealed this way.
Evolve 4: Put this under your Trainer. Gain Noivern from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[KAQ],,
KAQ-090,KAQ-089,"{""KAQ-089""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Noivern.webp,Noivern,7,2,"+2 Energy
Attack: Each opponent shuffles their discard pile into their deck, reveals the top four cards of their deck, then discards each card with cost 1 or more revealed this way.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
KAQ-091,KAQ-092,"{""KAQ-092""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Pancham.webp,Pancham,4,1,"+2 Energy
Evolve 6: Put this under your Trainer. Gain Pangoro from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[KAQ],,
KAQ-092,KAQ-091,"{""KAQ-091""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Pangoro.webp,Pangoro,6,2,"+4 Energy
If this is the first card you have played this turn, Attack: Each opponent discards two cards. For each opponent that discards a card with cost 2 or more this way, discard a card.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
KAQ-093,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Phantom%20Force.webp,Phantom Force,5,1,"Put this in front of your Trainer. At the start of your turn, discard this from play and gain +3 Energy.",,,Main Deck,Move,,,__none__,[KAQ],,
KAQ-094,KAQ-123,"{""KAQ-123""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Phantump.webp,Phantump,2,1,"+1 Energy
Evolve 6: Put this under your Trainer. Gain Trevenant from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[KAQ],,
KAQ-095,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Plant%20Badge.webp,Plant Badge,9,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[KAQ],,
KAQ-096,"KAQ-030, KAQ-045, KAQ-062, KAQ-105, KAQ-113,KAQ-115,KAQ-116,KAQ-131","{""KAQ-030"",""KAQ-045"",""KAQ-062"",""KAQ-105"",""KAQ-113"",""KAQ-115"",""KAQ-116"",""KAQ-131""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Poison.webp,Poison,0,-1,,,,Poison/Status Condition Stack,,,,__none__,[KAQ],,
KAQ-097,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Potion.webp,Potion,3,1,+2 Energy,,,Potion Stack,Item,,,__none__,[KAQ],,
KAQ-098,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Psychic%20Badge.webp,Psychic Badge,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[KAQ],,
KAQ-099,KAQ-053,"{""KAQ-053""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Pyroar.webp,Pyroar,5,1,"+2 Energy
You may destroy a card in your hand or discard pile.",,,Evolution Stack,Pokemon,,Evolved,__none__,[KAQ],,
KAQ-100,"KAQ-019, KAQ-018","{""KAQ-019"",""KAQ-018""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Quilladin.webp,Quilladin,5,1,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw two cards.
Evolve 6: Put this under your Trainer. Gain Chesnaught from the Evolution Stack.",,,Evolution Stack,Pokemon,Defense|Evolve,Evolved,__none__,[KAQ],,
KAQ-101,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Roller%20Skates.webp,Roller Skates,3,1,"Discard a card. If you do, draw two cards.",,,Main Deck,Item,,,__none__,[KAQ],,
KAQ-102,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Rumble%20Badge.webp,Rumble Badge,8,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[KAQ],,
KAQ-103,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Serena.webp,Serena,,,"At the start of each of your turns, you may discard an Item. If you do, you may put a Pokemon with cost 5 or less from your discard pile into your hand.",,,Setup,Trainer,,,__none__,[KAQ],,
KAQ-104,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Shauna.webp,Shauna,,,"Once during each of your turns, you may discard a card and pay 1 Energy. If you do, draw a card.",,,Setup,Trainer,,,__none__,[KAQ],,
KAQ-105,"KAQ-030, KAQ-096","{""KAQ-030"",""KAQ-096""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Skrelp.webp,Skrelp,4,1,"Choose an opponent.
Attack: That opponent gains a Poison.
Evolve 4: Put this under your Trainer. Gain Dragalge from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[KAQ],,
KAQ-106,"KAQ-042, KAQ-041","{""KAQ-042"",""KAQ-041""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Sliggoo.webp,Sliggoo,5,1,"At the end of your turn, put another card you control in play with cost 6 or less into your hand. Draw one less card at the end of your turn.
Evolve 5: Put this under your Trainer. Gain Goodra from the Evolution Stack.",,,Evolution Stack,Pokemon,Evolve,Evolved,__none__,[KAQ],,
KAQ-107,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Stone%20Plate.webp,Stone Plate,3,1,"If you have played a Pokemon this turn, gain +2 Energy.
Defense: You may discard this to avoid an Attack. If you do, draw a card.",,,Main Deck,Item,Defense,,__none__,[KAQ],,
KAQ-108,KAQ-031,"{""KAQ-031""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Sylveon.webp,Sylveon,5,1,"+2 Energy
Ongoing: You may avoid all Attacks. At the start of your turn, discard this from play.",,,Evolution Stack,Pokemon,Ongoing,Evolved,__none__,[KAQ],,
KAQ-109,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Tackle.webp,Tackle,0,0,+1 Energy,,,Setup,Starter,,,__none__,[KAQ],,
KAQ-110,"KAQ-037, KAQ-036","{""KAQ-037"",""KAQ-036""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Talonflame.webp,Talonflame,7,2,"Draw two cards.
You may destroy a card in your hand.",,,Evolution Stack,Pokemon,,Evolved,__none__,[KAQ],,
KAQ-111,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Team%20Flare%20Grunts.webp,Team Flare Grunts!,2,2,,"When you gain this, put this under your Trainer.",blue,Main Deck,Encounter,Encounter Attack,,Team Flare,[KAQ],,
KAQ-112,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Tierno.webp,Tierno,,,Defense: You may discard a Pokemon from your hand to avoid an Attack.,,,Setup,Trainer,Defense,,__none__,[KAQ],,
KAQ-113,KAQ-096,"{""KAQ-096""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM09%20Venoshock.webp,TM09 Venoshock,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Poison. If that opponent has more than one Poison in their discard pile, gain +1 Energy.",,,Main Deck,TM / HM,Attack,,__none__,[KAQ],,
KAQ-114,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM17%20Protect.webp,TM17 Protect,4,1,"Draw a card.
Defense: You may reveal this to avoid an Attack. If you do, reveal the top card of the Main Deck, then if that card is cost 5 or more, putt his under your Trainer. Put the card revealed this way on the bottom of the Main Deck.",,,Main Deck,TM / HM,Defense,,__none__,[KAQ],,
KAQ-115,KAQ-096,"{""KAQ-096""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM20%20Safeguard.webp,TM20 Safeguard,3,1,"You may destroy a Poison in your hand, discard pile, or under your Trainer.
Ongoing: If you gain a Poison during any turn, discard this from play and destroy that Poison.",,,Main Deck,TM / HM,Ongoing,,__none__,[KAQ],,
KAQ-116,KAQ-096,"{""KAQ-096""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM34%20Sludge%20Wave.webp,TM34 Sludge Wave,6,2,"+2 Energy
Attack: Each opponent gains a Poison.",,,Main Deck,TM / HM,Attack,,__none__,[KAQ],,
KAQ-117,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM56%20Fling.webp,TM56 Fling,5,1,"Choose an opponent.
Attack: Put a card from your hand or discard pile into that opponent's discard pile.",,,Main Deck,TM / HM,Attack,,__none__,[KAQ],,
KAQ-118,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM59%20Incinerate.webp,TM59 Incinerate,5,1,"+1 Energy
Destroy a card in your hand or discard pile.",,,Main Deck,TM / HM,,,__none__,[KAQ],,
KAQ-119,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM68%20Giga%20Impact.webp,TM68 Giga Impact,6,2,"+7 Energy
You do not draw a new hand at the end of your turn.",,,Main Deck,TM / HM,,,__none__,[KAQ],,
KAQ-120,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM72%20Volt%20Switch.webp,TM72 Volt Switch,5,1,"Draw a card.
You may discard a Pokemon. If you do, put a Pokemon with cost 8 or less from your discard pile into your hand.",,,Main Deck,TM / HM,,,__none__,[KAQ],,
KAQ-121,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM98%20Power-Up%20Punch.webp,TM98 Power-Up Punch,5,1,You may discard up to three cards. Gain +2 Energy for each card discarded this way.,,,Main Deck,TM / HM,,,__none__,[KAQ],,
KAQ-122,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/TM99%20Dazzling%20Gleam.webp,TM99 Dazzling Gleam,5,1,"+2 Energy
Put all cards from the Route on the bottom of the Main Deck, then refill the Route.
Attack: Each opponent discards all cards in front of their Trainer.",,,Main Deck,TM / HM,,,__none__,[KAQ],,
KAQ-123,KAQ-094,"{""KAQ-094""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Trevenant.webp,Trevenant,7,2,"+4 Energy and choose an opponent.
Attack: That opponent discards all Item cards.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
KAQ-124,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Trevor.webp,Trevor,,,"At the end of the game, if you have twelve or more differently named Pokemon, gain 5 XP.",,,Setup,Trainer,,,__none__,[KAQ],,
KAQ-125,KAQ-126,"{""KAQ-126""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Tyrantrum.webp,Tyrantrum,7,2,"+4 Energy
Destroy a card in your discard pile.",,,Evolution Stack,Pokemon,,Evolved,__none__,[KAQ],,
KAQ-126,KAQ-125,"{""KAQ-125""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Tyrunt.webp,Tyrunt,5,1,"+2 Energy
If this is discarded from your hand by an opponent's card effect, that opponent discards a card.
Evolve 6: Put this under your Trainer. Gain Tyrantrum from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[KAQ],,
KAQ-127,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Volcanion.webp,Volcanion,8,3,"+2 Energy
You may destroy a card in your hand or discard pile.
Attack: Each opponent discards a random card.",,,Mythical Pokemon Stack,Pokemon,Attack,Mythical,__none__,[KAQ],,
KAQ-128,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Voltage%20Badge.webp,Voltage Badge,9,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[KAQ],,
KAQ-129,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/X%20Accuracy.webp,X Accuracy,4,1,"Look at the top four cards of your deck. You may discard any number of them, then put the rest back in any order.",,,Main Deck,Item,,,__none__,[KAQ],https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/X%20Accuracy%20-%20Blue.webp,
KAQ-130,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Xerneas.webp,Xerneas,7,2,"Draw a card.
Draw two additional cards at the end of your turn.",,,Main Deck,Pokemon,,Legendary,__none__,[KAQ],,
KAQ-131,KAQ-096,"{""KAQ-096""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Xerosic.webp,Xerosic!,,,"Encounter Attack: Shuffle three Poison and the top card of the Main Deck together. Gain one of them ranodmly, then return the rest.","This can't be bought or gained. At the end of the turn, destroy this.",yellow,Main Deck,Encounter,Encounter Attack,,Team Flare,[KAQ],,
KAQ-132,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Yveltal.webp,Yveltal,7,2,"+3 Energy and choose an opponent.
Attack: That opponent discards two cards. Draw a card.",,,Main Deck,Pokemon,Attack,Legendary,__none__,[KAQ],,
KAQ-133,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Zygarde.webp,Zygarde,8,3,"+4 Energy
Each opponent discards all cards in front of their Trainer.
Ongoing: Opponent's can't destroy cards during their turn. At the start of your turn, discard this from play.",,,Main Deck,Pokemon,Ongoing,Legendary,__none__,[KAQ],,
