card_id,related_ids_raw,related,name,image_url,cost,xp,effect,highlight_effect,set,card_location,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
THC-094,THC-003,"{""THC-003""}",Swablu,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Swablu.webp,3,1,"Draw a card.
Evolve 5: Put this under your Trainer. Gain Altaria from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-095,THC-034,"{""THC-034""}",Swalot,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Swalot.webp,5,1,"+2 Energy
You may put a card from your hand or discard pile under your Trainer.",,[THC],Evolution Stack,,Pokemon,,Evolved,__none__,
THC-096,"THC-063, THC-053","{""THC-063"",""THC-053""}",Swampert,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Swampert.webp,7,2,"+3 Energy
Attack: Each opponent discards a random card. If they discarded a card with cost 3 or less this way, they discard another random card.",,[THC],Evolution Stack,,Pokemon,Attack,Evolved,Mega Symbol,
THC-097,,{},Tackle,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Tackle.webp,,0,+1 Energy,,[THC],Setup,,Starter,,,__none__,
THC-098,,{},Timer Ball,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Timer%20Ball.webp,4,1,"Ongoing: You may discard this from play. If you do, gain a Pokemon with cost 4 or less that is in the Route.",,[THC],Main Deck,,Item,,,__none__,
THC-099,,{},TM02 Dragon Claw,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM02%20Dragon%20Claw.webp,6,2,+4 Energy,,[THC],Main Deck,,TM / HM,,,__none__,
THC-100,,{},TM04 Calm Mind,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM04%20Calm%20Mind.webp,5,1,"Draw a card.
Draw an additional card at the end of your turn.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-101,THC-029,"{""THC-029""}",TM13 Ice Beam,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM13%20Ice%20Beam.webp,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Freeze.",,[THC],Main Deck,,TM / HM,Attack,,__none__,
THC-102,THC-066,"{""THC-066""}",TM25 Thunder,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM25%20Thunder.webp,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Paralyze.",,[THC],Main Deck,,TM / HM,Attack,,__none__,
THC-103,THC-013,"{""THC-013""}",TM35 Flamethrower,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM35%20Flamethrower.webp,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Burn.",,[THC],Main Deck,,TM / HM,Attack,,__none__,
THC-104,,{},TM40 Aerial Ace,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM40%20Aerial%20Ace.webp,4,1,"+2 Energy and choose an opponent.
That opponent shuffles their discard pile into their deck.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-105,,{},TM41 Torment,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM41%20Torment.webp,6,2,"+2 Energy and choose an opponent.
Attack: That opponent reveals their hand, then discards cards until they only have one of each card type.",,[THC],Main Deck,,TM / HM,Attack,,__none__,
THC-106,,{},TM46 Thief,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM46%20Thief.webp,5,1,"+1 Energy
Choose an Item in an opponent's discard pile. Copy the effects of that Item until the end of your turn.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-107,,{},TM48 Skill Swap,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM48%20Skill%20Swap.webp,5,1,"+1 Energy
Choose a TM / HM in an opponent's discard pile. Copy the effects of that TM / HM until the end of your turn. This can't be copied.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-108,THC-013,"{""THC-013""}",TM50 Overheat,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/TM50%20Overheat.webp,4,1,"Gain a Burn. If you do, gain +4 Energy.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-109,"THC-018, THC-009","{""THC-018"",""THC-009""}",Torchic,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Torchic.webp,3,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Combusken from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-110,,{},Torkoal,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Torkoal.webp,5,1,"Destroy the top card of your deck. If you do, gain +3 Energy.",,[THC],Main Deck,,Pokemon,,,__none__,
THC-111,"THC-033, THC-083","{""THC-033"",""THC-083""}",Treecko,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Treecko.webp,3,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Grovyle from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-112,,{},VS Seeker,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/VS%20Seeker.webp,2,1,Challenges cost you three less to buy this turn.,,[THC],Main Deck,,Item,,,__none__,
THC-113,,{},Zangoose,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Zangoose.webp,5,1,+2 Energy,"When you gain this, you may destroy up to two cards you control in play.",[THC],Main Deck,blue,Pokemon,,,__none__,
