card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules
TSR-086,"TSR-019, TSR-075","{""TSR-019"",""TSR-075""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Monferno.webp,Monferno,5,1,"+2 Energy
You may destroy a card in your hand.
Evolve 6: Put this under your Trainer. Gain Infernape from the Evolution Stack.",,,Evolution Stack,Pokemon,Evolve,Evolved,__none__,[TSR],,
TSR-087,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Munchlax.webp,Munchlax,2,1,"Ongoing: At the start of your turn, you may discard this from play. If you do, put a card from your hand under your Trainer.",,,Main Deck,Pokemon,,,__none__,[TSR],,
TSR-088,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Palkia.webp,Palkia,7,2,"+4 Energy
You may put a card from your discard pile under your Trainer.",,,Main Deck,Pokemon,,Legendary,__none__,[TSR],,
TSR-089,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Paul.webp,Paul,,,"Once during each of your turns, you may destroy a card in the Route. If you do, add the top card of the Main Deck to the Route.",,,Setup,Trainer,,,__none__,[TSR],,
TSR-090,TSR-030,"{""TSR-030""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Persim%20Berry.webp,Persim Berry,4,1,"+2 Energy
Destroy a Confusion you control in play or in your discard pile.",,,Main Deck,Item,,,__none__,[TSR],,
TSR-091,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Phione.webp,Phione,3,1,"Draw a card.
Put a Phione from your discard pile into your hand.",,,Main Deck,Pokemon,,,__none__,[TSR],,
TSR-092,"TSR-095, TSR-047","{""TSR-095"",""TSR-047""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Piplup.webp,Piplup,3,1,"Attack: Each opponent discards a card.
Evolve 4: Put this under your Trainer. Gain Prinplup from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[TSR],,
TSR-093,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Pokemon%20Hunter%20J.webp,Pokemon Hunter J,,,"At the start of each of your turns, you may put a Pokemon from your hand or discard pile under this. If you do, gain +2 Energy.",,,Setup,Trainer,,,__none__,[TSR],,
TSR-094,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Potion.webp,Potion,3,1,+2 Energy,,,Potion Stack,Item,,,__none__,[TSR],,
TSR-095,"TSR-092, TSR-047","{""TSR-092"",""TSR-047""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Prinplup.webp,Prinplup,5,1,"+2 Energy and choose an opponent.
Attack: Look at that opponent's hand. That opponent discards a card of your choosing.
Evolve 6: Put this under your Trainer. Gain Empoleon from the Evolution Stack.",,,Evolution Stack,Pokemon,Attack|Evolve,Evolved,__none__,[TSR],,
TSR-096,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Professor%20Rowan.webp,Professor Rowan,,,"During each player's turn, when any player Evolves a Pokemon, you may put a card with cost two or less from your discard pile into your hand.",,,Setup,Trainer,,,__none__,[TSR],,
TSR-097,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Regigigas.webp,Regigigas,8,3,"Gain +Energy equal to half the cost of the top card of the Challenge Stack, rounded up.",,,Main Deck,Pokemon,,Legendary,__none__,[TSR],,
TSR-098,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Relic%20Badge.webp,Relic Badge,9,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[TSR],,
TSR-099,TSR-081,"{""TSR-081""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Riolu.webp,Riolu,2,1,"Ongoing: During your turn, you may discard this from play. If you do, gain +2 Energy. Evolve 4: Put this under your Trainer. Gain Lucario from the Evolution Stack.",,,Main Deck,Pokemon,Ongoing|Evolve,,__none__,[TSR],,
TSR-100,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Rock%20Wrecker.webp,Rock Wrecker,5,1,"+4 Energy
Ongoing: This can only be discarded from play by its own effect. The next time you shuffle your discard pile into your deck, discard this from play.",,,Main Deck,Move,Ongoing,,__none__,[TSR],,
TSR-101,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Shaymin.webp,Shaymin,8,3,"Choose one of the following:
 • If this is the first card you have played this turn, draw until you have six cards in your hand.
 • Discard two cards. If you do, draw three cards.",,,Mythical Pokemon Stack,Pokemon,,Mythical,__none__,[TSR],,
TSR-102,TSR-058,"{""TSR-058""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Shellos.webp,Shellos,3,1,"+1 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 5: Put this under your Trainer. Gain Gastrodon from the Evolution Stack.",,,Main Deck,Pokemon,Defense|Evolve,,__none__,[TSR],,
TSR-103,"TSR-007, TSR-038","{""TSR-007"",""TSR-038""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Skorupi.webp,Skorupi,4,1,"+1 Energy
You may put up to two Badly Poisoned from the Destroyed Pile into the Status Condition Stack.
Evolve 6: Put this under your Trainer. Gain Drapion from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[TSR],,
TSR-104,TSR-105,"{""TSR-105""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Sleep%20Powder.webp,Sleep Powder,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Sleep.",,,Main Deck,Move,Attack,,__none__,[TSR],,
TSR-105,"TSR-004, TSR-012, TSR-015, TSR-053, TSR-054, TSR-033, TSR-076, TSR-104, TSR-126, TSR-114","{""TSR-004"",""TSR-012"",""TSR-015"",""TSR-053"",""TSR-054"",""TSR-033"",""TSR-076"",""TSR-104"",""TSR-126"",""TSR-114""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Sleep.webp,Sleep,0,-1,"Ongoing: At the start of your turn, discard a Pokemon. When another Status Condition enters play under your control, destroy this. At the end of your turn, discards this.","When this enters your hand, put this into play.",red,Poison/Status Condition Stack,Status Condition,Ongoing,,__none__,[TSR],,
TSR-106,TSR-032,"{""TSR-032""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Spiritomb.webp,Spiritomb,5,1,"+2 Energy and choose an opponent.
Attack: That opponent gains a Curse.",,,Main Deck,Pokemon,Attack,,__none__,[TSR],,
TSR-107,"TSR-109, TSR-108","{""TSR-109"",""TSR-108""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Staraptor.webp,Staraptor,7,2,"+3 Energy
Attack: Each opponent discards all non-Status Conditions in front of their Trainer. Draw a card for each opponent that discards at least one card this way.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[TSR],,
TSR-108,"TSR-109, TSR-107","{""TSR-109"",""TSR-107""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Staravia.webp,Staravia,5,1,"Draw a card and choose an opponent.
That opponent discards all non-Status Conditions in front of their Trainer.
Evolve 6: Put this under your Trainer. Gain Staraptor from the Evolution Stack.",,,Evolution Stack,Pokemon,Evolve,Evolved,__none__,[TSR],,
TSR-109,"TSR-108, TSR-107","{""TSR-108"",""TSR-107""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Starly.webp,Starly,3,1,"Draw a card and choose an opponent.
Attack: That opponent discards all non-Status Conditions in front of their Trainer.
Evolve 5: Put this under your Trainer. Gain Staravia from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[TSR],,
TSR-110,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Tackle.webp,Tackle,0,0,+1 Energy,,,Setup,Starter,,,__none__,[TSR],,
TSR-111,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM23%20Iron%20Tail.webp,TM23 Iron Tail,5,1,"+2 Energy and choose an opponent.
That opponent reveals their hand and discards all Defense cards.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-112,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM28%20Dig.webp,TM28 Dig,4,1,"+2 Energy
At the end of your turn, put this on the bottom of your deck.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-113,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM34%20Shock%20Wave.webp,TM34 Shock Wave,5,1,"+2 Energy
Each opponent puts a non-Pokemon Starter from their hand or discard pile on top of their deck. If they can't, they discard a card instead.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-114,"TSR-007, TSR-030, TSR-032, TSR-105","{""TSR-007"",""TSR-030"",""TSR-032"",""TSR-105""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM42%20Facade.webp,TM42 Facade,6,2,"If you control a Status Condition in play, gain +5 Energy. Otherwise, gain +3 Energy.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-115,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM57%20Charge%20Beam.webp,TM57 Charge Beam,5,1,"Put this in front of your Trainer. At the start of your turn, discards this from play and gain +3 Energy.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-116,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM57%20Charge%20Beam.webp,TM58 Endure,5,1,"+2 Energy
Defense: You may put this in front of your Trainer to avoid an Attack. If you do, put this from in front of your Trainer into your hand at the start of your turn.",,,Main Deck,TM / HM,Defense,,__none__,[TSR],,
TSR-117,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM59%20Dragon%20Pulse.webp,TM59 Dragon Pulse,6,2,+4 Energy,,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-118,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM66%20Payback.webp,TM66 Payback,5,1,"+2 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card, then the opponent who controls the source of that Attack discards a card.",,,Main Deck,TM / HM,Defense,,__none__,[TSR],,
TSR-119,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM73%20Thunder%20Wave.webp,TM73 Thunder Wave,5,1,"+2 Energy
Each opponent discards all non-Status Conditions in front of their Trainer.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-120,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/TM81%20X-Scissor.webp,TM81 X-Scissor,4,1,"+2 Energy
You may destroy up to two cards in the Route. If you do, add the top card of the Main Deck to the Route for each card destroyed this way.",,,Main Deck,TM / HM,,,__none__,[TSR],,
TSR-121,"TSR-122, TSR-067","{""TSR-122"",""TSR-067""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Torterra.webp,Torterra,7,2,"+3 Energy
Draw three cards, then discard three cards.",,,Evolution Stack,Pokemon,,Evolved,__none__,[TSR],,
TSR-122,"TSR-067, TSR-121","{""TSR-067"",""TSR-121""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Turtwig.webp,Turtwig,3,1,"Draw a card.
Evolve 4: Put this under your Trainer. Gain Grotle from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[TSR],,
TSR-123,TSR-045,"{""TSR-045""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Umbreon.webp,Umbreon,5,1,"+2 Energy
You may put a card from your hand or discard pile under your Trainer.",,,Evolution Stack,Pokemon,,Evolved,__none__,[TSR],,
TSR-124,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Uxie.webp,Uxie,6,2,"+1 Energy
Search your deck for a card with cost 7 or less and put it into your hand.",,,Main Deck,Pokemon,,Legendary,__none__,[TSR],,
TSR-125,"TSR-024, TSR-007","{""TSR-024"",""TSR-007""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Vespiquen.webp,Vespiquen,6,2,"+3 Energy
Attack: Each opponent gains a Badly Poisoned.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[TSR],,
TSR-126,"TSR-076, TSR-105","{""TSR-076"",""TSR-105""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Wigglytuff.webp,Wigglytuff,5,1,"+2 Energy
Attack: Each opponent gains a Sleep.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[TSR],,
